Signum	Plats	Socken	Härad	Kommun	Placering	Koordinater	Urspr. plats?	Nuv. koord.	Sockenkod/Fornlämningsnr.	Runtyper	Korsform	Period/Datering	Stilgruppering	Ristare	Materialtyp	Material	Föremål	Övrigt	Alternativt signum	Referens	Bildlänk
N 115 M 	Torpo kirke	Torpo sn	Buskerud fylke	Ål		(60.66405 ; 8.70839)						M			trä	trä	stavkyrkegrafitti				
N 116 M 	Torpo kirke	Torpo sn	Buskerud fylke	Ål		(60.66405 ; 8.70839)						M			trä	trä	stavkyrkegrafitti				
N 117 M 	Torpo kirke	Torpo sn	Buskerud fylke	Ål		(60.66405 ; 8.70839)						M			trä	trä	stavkyrkegrafitti				
N 118 M 	Torpo kirke	Torpo sn	Buskerud fylke	Ål		(60.66405 ; 8.70839)						M			trä	trä	stavkyrkegrafitti				
N 119 M 	Torpo kirke	Torpo sn	Buskerud fylke	Ål		(60.66405 ; 8.70839)						M			trä	trä	stavkyrkegrafitti				
N 120 M 	Torpo kirke	Torpo sn	Buskerud fylke	Ål		(60.66405 ; 8.70839)						M			trä	furu	kista				
N 121 M 	Ål kirke	Ål sn	Buskerud fylke	Ål	Oldsaksamlingen (nr. 10354)	(60.62883 ; 8.55757)						M			trä	trä	målad inskrift				
N 122 M 	Ål kirke	Ål sn	Buskerud fylke	Ål	Oldsaksamlingen (nr. 10027)	(60.62883 ; 8.55757)						M			trä	trä	målade med tjära				
N 123 M 	Ål kirke	Ål sn	Buskerud fylke	Ål	Oldsaksamlingen (nr. 10593)	(60.62883 ; 8.55757)						M			trä	trä	träinskrift				
N 124 M 	Ål kirke	Ål sn	Buskerud fylke	Ål	Oldsaksamlingen (nr. 10590)	(60.62883 ; 8.55757)						M			trä	trä	träinskrift				
N 125  	Strand	Ål sn	Buskerud fylke	Ål	Oldsaksamlingen (nr. 4360)							V	?		sten	röd ringerike-sandsten	sten	Fragment utan runor men ornamentiken tyder på att det tillhört en runristad häll.			
N 126 †M 	Holmen kirke	Holmen sn	Buskerud fylke	Sigdal		(60.04599 ; 9.63287)						M			metall		kyrkklocka				
N 127 $ 	Hon	Haug sn	Buskerud fylke	Øvre Eiker	Oldsaksamlingen							V			metall	guld	mynt			$=NOR 2000:20, http://urn.nb.no/URN:NBN:no-44958	
N 128 †M 	Sylling kirke	Sylling sn	Buskerud fylke	Lier		(59.89868 ; 10.28116)						M ca 1240			sten		runsten				
N 129 M 	Alstad	Rollag sn	Buskerud fylke	Rollag								M ca 1200			trä	trä	träinskrift				
N 130 M 	Rauland	Uvdal sn	Buskerud fylke	Nore og Uvdal								M 1175-1350			trä	trä	träinskrift				
N 131 M 	Nore kirke	Nore sn	Buskerud fylke	Nore og Uvdal		(60.16930 ; 9.01207)						M ca 1200			trä	trä	träinskrift				
N 132 M 	Nore kirke	Nore sn	Buskerud fylke	Nore og Uvdal		(60.16930 ; 9.01207)						M ca 1200			trä	trä	träinskrift				
N 133 M 	Bondi	Sande sn	Vestfold fylke	Sande								M			trä	furu	mjölbinge				
N 134 †M 	Nykirke kirke	Nykirke sn	Vestfold fylke	Horten		(59.42283 ; 10.38344)						M			trä	trä	monstrans		L 1965		
N 135 M 	Høijord kirke	Høijord sn	Vestfold fylke	Andebu		(59.36741 ; 10.12106)						M			trä	trä	träinskrift				
N 136 M 	Tønsberg	Tønsberg	Vestfold fylke	Tønsberg								M ca 1275			sten	sten	mursten				
N 137  	Oseberg	Slagen sn	Vestfold fylke	Tønsberg	Bygdøy, Oslo							V 825-850 (Imer 2007)			trä	trä	träföremål				
N 138  	Oseberg	Slagen sn	Vestfold fylke	Tønsberg	Bygdøy, Oslo							V 825-850 (Imer 2007)			trä	trä	spann				
N 139  	Gokstad	Sandar sn	Vestfold fylke	Sandefjord								V 875-925 (Imer 2007)			metall	koppar	kittel				
N 140 $ 	Valby	Tjølling sn	Vestfold fylke	Larvik	Oldsaksamlingen (nr. 6727)							V	?		sten	granit	runsten			§Q: $=Källström 2007a:416	
N 141 M 	Lunde	Lunde og Flåbygd sn	Vestfold fylke	Nome								M			sten	täljsten	sländtrissa				
N 142 †M 	Gjerpen kirke	Gjerpen sn	Telemark fylke	Skien		(59.22419 ; 9.60763)						M ca 1150			metall		kyrkklocka		L 1998		
N 143 †M 	Gjerpen kirke	Gjerpen sn	Telemark fylke	Skien		(59.22419 ; 9.60763)						M ca 1150			metall		kyrkklocka				
N 144 M 	Bratsberg kirke	Bratsberg sn	Telemark fylke	Skien		(63.3475 ; 10.4810)						M ca 1100			sten	kalksten	kvadersten				
N 145 †M 	Bratsberg kirke	Bratsberg sn	Telemark fylke	Skien		(63.3475 ; 10.4810)						M ca 1100			sten		kvadersten				
N 146 †M 	Gåra kirke	Bø sn	Telemark fylke	Bø		(59.423 ; 9.104)						M ca 1350			trä	trä	träinskrift				
N 147 M 	Heddal kirke	Heddal sn	Telemark fylke	Notodden		(59.5796 ; 9.1762)						M ca 1250			trä	trä	träinskrift				
N 148 M 	Atrå kirke	Atrå sn	Telemark fylke	Tinn	Oldsaksamlingen (nr. 1038)	(59.9884 ; 8.7320)						M ca 1180			trä	trä	träinskrift				
N 149 M 	Atrå kirke	Atrå sn	Telemark fylke	Tinn	Oldsaksamlingen (nr. 952 a)	(59.9884 ; 8.7320)						M ca 1180			trä	trä	träinskrift				
N 150 M 	Atrå kirke	Atrå sn	Telemark fylke	Tinn	Oldsaksamlingen (nr. 952 b)	(59.9884 ; 8.7320)						M ca 1180			trä	trä	träinskrift				
N 151 M 	Atrå kirke	Atrå sn	Telemark fylke	Tinn	Oldsaksamlingen (nr. 952 c)	(59.9884 ; 8.7320)						M ca 1180			trä	trä	träinskrift				
N 152 M 	Atrå kirke	Atrå sn	Telemark fylke	Tinn	Oldsaksamlingen (nr. 952 d)	(59.9884 ; 8.7320)						M			trä	trä	träinskrift				
N 153 M 	Tveito	Hovin sn	Telemark fylke	Tinn	Norsk Folkemuseum, Bygdøy							M			trä	trä	träinskrift				
N 154 M 	Tuddal kirke?	Tuddal sn	Telemark fylke	Hjartdal	Oldsaksamlingen (nr. 11309)	(59.7553 ; 8.7884)						M			metall	metall	dörrbeslag				http://www.khm.uio.no/tema/utstillingsarkiv/kyss-meg/7_kirken.html
N 155 M 	Runhellhovet	Tuddal sn	Telemark fylke	Hjartdal					[lokalitet/62705]			M			sten	leptit	runsten				
N 156 M 	Tremerrhaugen, Seljord kirke	Seljord sn	Telemark fylke	Seljord	Oldsaksamlingen (nr. 27274)							M			sten	täljsten	skaft(?)				
N 157 M 	Flatdal kirke	Flatdal sn	Telemark fylke	Seljord	Oldsaksamlingen (nr. 3497), deponerad i Universitetsbiblioteket på Blindern i Oslo. 	(59.5607 ; 8.5722)						M 1100-t			sten	kvartsit	gravhäll		L 1456		http://www.ub.uio.no/om/organisasjon/uhs/uhs/bilder/runer/runer-flatdal-400.gif, http://www.ub.uio.no/om/organisasjon/uhs/uhs/bilder/runer/
N 158 M 	Åmotsdal kirke	Åmotsdal sn	Telemark fylke	Seljord	Nationalmuseet, København	(59.6275 ; 8.4072)						M 1200-t			metall		kyrkklocka		L 1997		
N 159 M 	Snarteland	Fyresdal sn	Telemark fylke	Fyresdal								M			metall	järn	dörrbeslag				
N 160 $ 	Fyresdal, Skeistenen	Fyresdal sn (Moland)	Telemark fylke	Fyresdal					[lokalitet/127468]			V	RAK		sten	granit	runsten			$=Material på Runearkivet, se även Källström 2007a:416f	
N 161 †M 	Veum kirke	Fyresdal sn (Veum)	Telemark fylke	Fyresdal		(59.2853 ; 8.0923)						M ca 1200			sten		gravhäll				
N 162  	Veum	Fyresdal sn (Veum)	Telemark fylke	Fyresdal	Oldsaksamlingen (nr. 28327)							V	RAK		sten	granit	runsten				
N 163 $ 	Skafså	Eidsborg, Mo og Skafså sn	Telemark fylke	Tokke								V	RAK		sten	sandsten	runsten			$=Källström 2007a:231, 417	
N 164 M 	Eidsborg kirke	Eidsborg, Mo og Skafså sn	Telemark fylke	Tokke		(59.4646 ; 8.0219)						M			trä	trä	träinskrift				
N 165 M 	Eidsborg kirke	Eidsborg, Mo og Skafså sn	Telemark fylke	Tokke		(59.4646 ; 8.0219)						M			trä	trä	träinskrift				
N 166 M 	Eidsborg kirke	Eidsborg, Mo og Skafså sn	Telemark fylke	Tokke		(59.4646 ; 8.0219)						M			trä	trä	träinskrift				
N 167 M 	Eidsborg kirke	Eidsborg, Mo og Skafså sn	Telemark fylke	Tokke		(59.4646 ; 8.0219)						M			trä	trä	träinskrift				
N 168 M 	Eidsborg kirke	Eidsborg, Mo og Skafså sn	Telemark fylke	Tokke		(59.4646 ; 8.0219)						M			trä	trä	träinskrift				
N 169 M 	Vindlaus	Eidsborg, Mo og Skafså sn	Telemark fylke	Tokke								M ca 1300			trä	trä	träinskrift				
N 170 M 	Vinje kirke	Vinje og Nesland sn	Telemark fylke	Vinje		(59.6194 ; 7.8432)						M 21 juni 1197 (?)			trä	trä	träinskrift		L 2233		
N 171 M 	Vinje kirke	Vinje og Nesland sn	Telemark fylke	Vinje		(59.6194 ; 7.8432)						M juni 1197 (?)			trä	trä	träinskrift		L 2232		
N 172 M 	Nesland kirke	Vinje og Nesland sn	Telemark fylke	Vinje	Oldsaksamlingen (nr. 1542)	(59.5238 ; 7.9859)						M			trä	trä	träinskrift				
N 173 M 	Nesland kirke	Vinje og Nesland sn	Telemark fylke	Vinje		(59.5238 ; 7.9859)						M			trä	trä	träinskrift				
N 174 †M 	Nesland kirke	Vinje og Nesland sn	Telemark fylke	Vinje		(59.5238 ; 7.9859)						M			trä	trä	träinskrift		L 1828a		
N 175 †M 	Nesland kirke	Vinje og Nesland sn	Telemark fylke	Vinje		(59.5238 ; 7.9859)						M			trä	trä	träinskrift				
N 176 †M 	Nesland kirke	Vinje og Nesland sn	Telemark fylke	Vinje		(59.5238 ; 7.9859)						M			trä	trä	träinskrift		L 1828b		
N 177 †M 	Nesland kirke	Vinje og Nesland sn	Telemark fylke	Vinje		(59.5238 ; 7.9859)						M			trä	trä	träinskrift		L 1828b		
N 178 M 	Røindal	Øifjelds sn	Telemark fylke	Vinje	Oldsaksamlingen (nr. 5444)							M			metall	järn	beslag		L 1888a		
N 179 M 	Rauland	Rauland sn	Telemark fylke	Vinje	Oldsaksamlingen (nr. 9897)							M 1300-t			metall	järn	beslag				
N 180 † 	Åmli	Åmli sn	Aust-Agder fylke	Åmli								V	RAK		sten	gråsten	runsten		L 1598		
N 181 M 	Froland kirke	Froland sn	Aust-Agder fylke	Froland		(58.5260 ; 8.6518)						M går ej att tidfästa närmare			sten	glimmerrik gnejs	gravhäll		L 1597		
N 182 $M 	Hafstad	Landvig sn	Aust-Agder fylke	Grimstad								M	RAK		sten		fast häll			$=NOR 1987:9, http://urn.nb.no/URN:NBN:no-44873	
N 183 M 	Fossvik	Evje sn	Aust-Agder fylke	Evje og Hornnes								M	RAK		sten	granit	sten				
N 184  	Galteland	Evje sn	Aust-Agder fylke	Evje og Hornnes	Oldsaksamlingen							V	RAK		sten	gråsten	runsten		L 1457		
N 185 † 	Bygland	Bygland sn	Aust-Agder fylke	Bygland								V	RAK?		sten	gråsten	runsten		L 1828		
N 186 † 	Bygland	Bygland sn	Aust-Agder fylke	Bygland								V	RAK		sten	gråsten	runsten		L 1599		
N 187  	Årdal kirke	Årdal sn	Aust-Agder fylke	Bygland		(58.7071 ; 7.8238)			[lokalitet/31833]			V	RAK		sten	gnejs	runsten				
